math,language,earn,ethblack,ethhisp,ethwhite,hgc,hgcp,id,l14coun,l14farm,l14town,lgearn,male,pov78,siblings
77,90,8.000000046,1,0,0,12,23,5484,0,0,1,2.079441547,1,1,5
125,112,28.12000077,0,0,1,20,30,2941,1,0,0,3.336481094,1,0,2
80,54,5.00000015,0,1,0,12,8,2682,0,0,1,1.609437943,1,1,12
60,62,5.499999682,0,0,1,13,15,2015,0,0,1,1.704748034,1,1,5
105,112,32.0499966,0,0,1,12,22,320,0,0,1,3.467297077,1,#?/?,1
94,92,26.9200017,0,0,1,13,22,3528,0,0,1,3.292869568,1,0,6
127,119,20.03000191,0,0,1,16,30,1626,0,0,1,2.997231245,1,0,3
63,54,6.390000212,0,1,0,13,18,4542,0,0,1,1.854734302,1,1,3
105,93,15.00000075,0,0,1,12,24,2857,1,0,0,2.708050251,1,0,6
114,117,12.01000086,0,0,1,16,28,1367,1,0,0,2.485739708,1,0,7
97,83,12.50000073,0,0,1,12,24,1869,0,0,1,2.525728703,1,0,4
126,113,16.50000134,0,0,1,14,27,2415,0,0,1,2.803360462,1,0,2
128,115,11.20999982,0,0,1,16,23,3623,0,0,1,2.416806221,1,0,0
99,112,11.6200005,0,0,1,12,28,2138,1,0,0,2.452727795,1,1,5
86,82,15.00000075,0,0,1,16,24,2141,1,0,0,2.708050251,1,0,1
107,96,16.64000174,0,0,1,12,18,968,1,0,0,2.81180954,1,0,6
110,115,18.26000074,0,0,1,13,24,3385,0,0,1,2.904712915,1,0,9
120,84,13.72999877,0,0,1,12,20,3247,1,0,0,2.61958313,1,0,4
109,111,19.22999776,0,0,1,12,21,922,0,0,1,2.956471443,1,0,6
128,119,88.46001314,0,0,1,20,40,3689,0,0,1,4.482550621,1,0,1
126,109,15.25000106,0,0,1,12,24,1062,0,1,0,2.724579573,1,0,4
103,94,14.49000084,0,0,1,14,22,2172,1,0,0,2.673458815,1,0,1
84,72,14.00000096,0,0,1,12,24,1917,1,0,0,2.639057398,1,0,1
92,76,8.000000046,1,0,0,12,20,4710,0,0,1,2.079441547,1,0,6
93,120,14.37000107,0,0,1,16,32,1710,0,0,1,2.665142775,1,0,3
83,78,7.700000752,0,0,1,9,14,4119,0,0,1,2.041220427,1,0,8
89,99,5.590000256,0,0,1,12,29,488,0,0,1,1.720979333,1,0,4
74,90,13.46000082,0,0,1,12,20,3453,0,1,0,2.599722385,1,0,1
119,91,14.41999891,0,0,1,13,20,5383,0,1,0,2.668616056,1,0,8
90,117,16.02000163,0,0,1,13,26,2945,0,0,1,2.773838043,1,0,3
108,109,8.719999102,0,0,1,16,39,5004,0,0,1,2.165619135,1,0,2
109,110,11.23000121,0,0,1,18,25,5168,0,0,1,2.418588877,1,0,2
